"Preference Share","1 Item","2 Item","3 Item"
0.287397009576053,"X18","X23","X35"
0.287397009576053,"X18","X23","X36"
0.287397009576053,"X18","X23","X37"
0.287397009576053,"X18","X23","X38"
0.287397009576053,"X18","X23","X40"
0.287112506257445,"X12","X18","X39"
0.286875427474312,"X1","X12","X23"
0.286875427474312,"X2","X12","X23"
0.286875427474312,"X4","X12","X23"
0.286875427474312,"X6","X12","X23"
0.286875427474312,"X7","X12","X23"
0.286875427474312,"X8","X12","X23"
0.286875427474312,"X10","X12","X23"
0.286875427474312,"X11","X12","X23"
0.286875427474312,"X12","X14","X23"
0.286875427474312,"X12","X15","X23"
0.286875427474312,"X12","X16","X23"
0.286875427474312,"X12","X17","X23"
0.286875427474312,"X12","X19","X23"
0.286875427474312,"X12","X21","X23"
0.286875427474312,"X12","X22","X23"
0.286875427474312,"X12","X23","X24"
0.286875427474312,"X12","X23","X25"
0.286875427474312,"X12","X23","X26"
0.286875427474312,"X12","X23","X27"
0.286875427474312,"X12","X23","X28"
0.286875427474312,"X12","X23","X30"
0.286875427474312,"X12","X23","X31"
0.286875427474312,"X12","X23","X32"
0.286875427474312,"X12","X23","X33"
0.286875427474312,"X12","X23","X34"
0.286875427474312,"X12","X23","X35"
0.286875427474312,"X12","X23","X36"
0.286875427474312,"X12","X23","X37"
0.286875427474312,"X12","X23","X38"
0.286875427474312,"X12","X23","X40"
0.286506872616441,"X12","X18","X20"
0.2863078605633,"X9","X18","X20"
0.286230454960959,"X5","X9","X29"
0.286057488015433,"X9","X12","X29"
0.285155507131043,"X12","X13","X39"
0.283519260900739,"X5","X13","X18"
0.283119442317938,"X5","X12","X18"
0.283101316997721,"X5","X12","X13"
0.282693852758439,"X5","X9","X18"
0.279768750609558,"X5","X12","X20"
0.27842160458296,"X12","X20","X29"
0.278259475925701,"X1","X3","X20"
0.278259475925701,"X2","X3","X20"
0.278259475925701,"X3","X4","X20"
0.278259475925701,"X3","X6","X20"
0.278259475925701,"X3","X7","X20"
0.278259475925701,"X3","X8","X20"
0.278259475925701,"X3","X10","X20"
0.278259475925701,"X3","X11","X20"
0.278259475925701,"X3","X14","X20"
0.278259475925701,"X3","X15","X20"
